path,label
../data/Dataset_BUSI_with_GT/benign/benign (382).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (118).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (95).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (353).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (352).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (26).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (8).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (65).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (305).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (302).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (390).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (125).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (293).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (86).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (338).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (7).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (54).png,normal
../data/Dataset_BUSI_with_GT/malignant/malignant (9).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (17).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (211).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (94).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (316).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (343).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (135).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (428).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (82).png,malignant
../data/Dataset_BUSI_with_GT/malignant/malignant (108).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (193).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (100).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (24).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (36).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (67).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (53).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (236).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (96).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (183).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (339).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (342).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (10).png,normal
../data/Dataset_BUSI_with_GT/normal/normal (72).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (286).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (402).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (1).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (243).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (313).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (362).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (272).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (80).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (223).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (14).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (294).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (10).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (102).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (85).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (108).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (130).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (66).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (192).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (95).png,normal
../data/Dataset_BUSI_with_GT/malignant/malignant (120).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (21).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (347).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (311).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (68).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (38).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (165).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (55).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (93).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (308).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (60).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (274).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (18).png,normal
../data/Dataset_BUSI_with_GT/normal/normal (83).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (232).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (2).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (109).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (41).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (105).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (100).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (51).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (374).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (78).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (264).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (106).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (101).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (260).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (55).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (77).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (427).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (94).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (124).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (208).png,malignant
../data/Dataset_BUSI_with_GT/malignant/malignant (13).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (111).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (9).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (62).png,normal
../data/Dataset_BUSI_with_GT/malignant/malignant (48).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (61).png,normal
../data/Dataset_BUSI_with_GT/malignant/malignant (193).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (422).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (82).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (74).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (71).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (126).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (238).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (72).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (114).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (52).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (89).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (44).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (137).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (56).png,normal
../data/Dataset_BUSI_with_GT/normal/normal (57).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (434).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (194).png,malignant
../data/Dataset_BUSI_with_GT/malignant/malignant (110).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (19).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (73).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (65).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (398).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (157).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (189).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (137).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (109).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (98).png,normal
../data/Dataset_BUSI_with_GT/malignant/malignant (56).png,malignant
../data/Dataset_BUSI_with_GT/malignant/malignant (57).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (296).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (263).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (164).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (333).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (14).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (373).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (84).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (142).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (247).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (107).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (88).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (129).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (346).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (90).png,normal
../data/Dataset_BUSI_with_GT/malignant/malignant (131).png,malignant
../data/Dataset_BUSI_with_GT/malignant/malignant (73).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (126).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (30).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (104).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (130).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (176).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (6).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (178).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (127).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (77).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (299).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (371).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (217).png,benign
