path,label
../data/Dataset_BUSI_with_GT/normal/normal (65).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (135).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (24).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (96).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (183).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (402).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (313).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (294).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (66).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (192).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (21).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (308).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (2).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (41).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (100).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (106).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (101).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (124).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (13).png,malignant
../data/Dataset_BUSI_with_GT/malignant/malignant (193).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (74).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (71).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (238).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (137).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (98).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (296).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (263).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (373).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (90).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (178).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (77).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (304).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (115).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (3).png,normal
../data/Dataset_BUSI_with_GT/malignant/malignant (197).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (94).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (125).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (122).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (323).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (30).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (219).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (115).png,malignant
../data/Dataset_BUSI_with_GT/malignant/malignant (62).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (324).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (53).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (250).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (7).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (177).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (289).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (159).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (284).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (117).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (261).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (173).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (70).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (69).png,malignant
../data/Dataset_BUSI_with_GT/normal/normal (67).png,normal
../data/Dataset_BUSI_with_GT/malignant/malignant (3).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (198).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (36).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (152).png,benign
../data/Dataset_BUSI_with_GT/benign/benign (403).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (35).png,normal
../data/Dataset_BUSI_with_GT/normal/normal (80).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (43).png,benign
../data/Dataset_BUSI_with_GT/malignant/malignant (206).png,malignant
../data/Dataset_BUSI_with_GT/benign/benign (351).png,benign
../data/Dataset_BUSI_with_GT/normal/normal (107).png,normal
../data/Dataset_BUSI_with_GT/benign/benign (4).png,benign
